"";"spalte";"TextBlock";"TopMargin";"indhold";"år";"samling"
"1";1;1;"Folketingets forhandlinger. (1) l 1j10 74: Folketingets åbning. 2";"Folketingets forhandlinger. (1) l 1j10 74: Folketingets åbning. 2";"1974";"1"
"2";1;3;"Folketingets forhandlinger. (1) l 1j10 74: Folketingets åbning. 2";"1. møde.";"1974";"1"
"3";1;4;"Folketingets forhandlinger. (1) l 1j10 74: Folketingets åbning. 2";"Tirsdag den 1. oktober 1974 kl. 12.";"1974";"1"
"4";1;5;"Folketingets forhandlinger. (1) l 1j10 74: Folketingets åbning. 2";"Aldersformanden (Jens Foged):";"1974";"1"
"5";1;6;"Folketingets forhandlinger. (1) l 1j10 74: Folketingets åbning. 2";"I henhold til grundloven er folketinget i dag trådt sammen til sit første møde i det nye folketingsår.";"1974";"1"
"6";1;7;"Folketingets forhandlinger. (1) l 1j10 74: Folketingets åbning. 2";"Som det medlem, der længst har haft sæde i tinget, påhviler det mig at lede valget af tingets præsidium og tingsekretærer.";"1974";"1"
"7";1;8;"Folketingets forhandlinger. (1) l 1j10 74: Folketingets åbning. 2";"Til disse valg er anmeldt følgende valggrupper: én gruppe på 126 medlemmer, bestående af socialdemokratiet, venstre, det radikale venstre, det konservative folkeparti, centrum-demokraterne og kristeligt folkeparti, og én gruppe på 28 medlemmer, freniskridtspartiet og de uafhængige.";"1974";"1"
"8";1;9;"Folketingets forhandlinger. (1) l 1j10 74: Folketingets åbning. 2";"I henhold til gruppernes indstilling er til formand valgt Skytte (RV), til første næstformand Grete Hækkerup (S), til anden næstformand Erlendsson (FP), til tredje næstformand Karlskov Jensen (V) og til fjerde næstformand H. C. Toft (KF).";"1974";"1"
"9";1;10;"Folketingets forhandlinger. (1) l 1j10 74: Folketingets åbning. 2";"Til tingsekretærer er i henhold til gruppernes indstilling valgt følgende medlemmer: Søren B. Jørgensen (S), K. J. Mortensen (S), Brøndsted (V), Hans Toft (KF), Elmholt (RV) og Glensgård (FP).";"1974";"1"
"10";1;11;"Folketingets forhandlinger. (1) l 1j10 74: Folketingets åbning. 2";"Tinget er hermed sat.";"1974";"1"
"11";1;12;"Folketingets forhandlinger. (1) l 1j10 74: Folketingets åbning. 2";"Jeg beder den højtærede formand om at overtage formandspladsen.";"1974";"1"
"12";1;13;"Folketingets forhandlinger. (1) l 1j10 74: Folketingets åbning. 2";"Formanden:";"1974";"1"
"13";1;14;"Folketingets forhandlinger. (1) l 1j10 74: Folketingets åbning. 2";". Jeg takker for den tillid, som tinget har vist mig ved at genvælge mig til at lede arbejdet. Jeg skal bestræbe mig på efter bedste evne at opfylde de pligter, der påhviler mig som tingets formand.";"1974";"1"
"14";1;15;"Folketingets forhandlinger. (1) l 1j10 74: Folketingets åbning. 2";"Først har jeg den glæde på tingets vegne at udtale et hjerteligt velkommen til Hendes Majestæt Dronning Margrethe, til Hans kongelige Højhed Prins Henrik og til Hendes";"1974";"1"
"15";1;16;"Folketingets forhandlinger. (1) l 1j10 74: Folketingets åbning. 2";"Majestæt Dronning Ingrid samt til repræsentanter for højesteret, der som folketingets gæster overværer tingets første møde i det nye folketingsår. Hjertelig velkommen.";"1974";"1"
"16";1;17;"Folketingets forhandlinger. (1) l 1j10 74: Folketingets åbning. 2";"Jeg giver herefter ordet til statsministeren, for at han kan give den i grundlovens § 38 omhandlede redegørelse for rigets almindelige stilling og de af regeringen påtænkte foranstaltninger.";"1974";"1"
"17";1;18;"Folketingets forhandlinger. (1) l 1j10 74: Folketingets åbning. 2";"Statsministeren (Poul Hartling):";"1974";"1"
"18";1;19;"Folketingets forhandlinger. (1) l 1j10 74: Folketingets åbning. 2";"Folketinget indleder i dag et nyt folketingsår. Det sker på et tidspunkt, hvor det danske folk vågent og kritisk følger det arbejde, som udrettes i regering og folketing, og mange stiller det spørgsmål, om vore arbejdsformer er hensigtsmæssige i betragtning af de vanskelige opgaver, vi stilles over for.";"1974";"1"
"19";1;20;"Folketingets forhandlinger. (1) l 1j10 74: Folketingets åbning. 2";"Mine første ord ved denne lejlighed skal være et tilsagn fra regeringen om at ville formidle et samarbejde både med alle ansvarsbevidste partier i denne sal og med de organisationer, der har så stor betydning og dermed også så stort et ansvar i det moderne samfundsliv.";"1974";"1"
"20";1;21;"Folketingets forhandlinger. (1) l 1j10 74: Folketingets åbning. 2";"Den vigtigste arbejdsopgave for regeringen og folketinget er at genskabe stabilitet og ligevægt i dansk økonomi. Det er regeringens opfattelse, at der i den forløbne del af 1974 er lagt et godt grundlag at arbejde videre på. Det gælder ikke mindst den nedsættelse af indkomstbeskatningen til staten. som netop er blevet gennemført, og den ud-giftsreform, som er knyttet dertil.";"1974";"1"
"21";1;22;"Folketingets forhandlinger. (1) l 1j10 74: Folketingets åbning. 2";"Men vi står fortsat over for store opgaver, som kræver en ansvarsbevidst indsats af regering og folketing, af erhvervslivet og af arbejdsmarkedets organisationer. Først og fremmest skal vi gøre en alvorlig indsats for";"1974";"1"
"22";3;1;"3 1/10 74: Folketingets åbning. 4";"3 1/10 74: Folketingets åbning. 4";"1974";"1"
"23";3;2;"3 1/10 74: Folketingets åbning. 4";"[Statsministeren.]";"1974";"1"
"24";3;3;"3 1/10 74: Folketingets åbning. 4";"at fremme beskæftigelsen, og det skal ske på en sådan måde, at vi samtidig opnår en bedre ligevægt på betalingsbalancen. Derfor må vi samarbejde om at hindre en ny voldsom stigning i omkostninger og priser.";"1974";"1"
"25";3;4;"3 1/10 74: Folketingets åbning. 4";"Stigningen i priserne på olie og andre importerede råvarer har belært os om, hvor afhængige vi er af den politiske og økonomiske udvikling i verden omkring os. Det opbrud, der er sket i det hidtil kendte mønster i den internationale økonomi, stiller også os over for meget alvorlige udfordringer.";"1974";"1"
"26";3;5;"3 1/10 74: Folketingets åbning. 4";"Internationalt samarbejde vil derfor være nødvendigt i endnu videre udstrækning end hidtil. Det vil være nødvendigt at finde frem til en ny forståelse og et nyt mønster for samarbejde mellem industrilandene og den øvrige verden. De første skridt hertil er taget.";"1974";"1"
"27";3;6;"3 1/10 74: Folketingets åbning. 4";"Når vi skal tage stilling til de internationale problemer og deltage i løsningen af dem, sker det ud fra den opfattelse, at den vestlige alliance vedblivende er grundlaget for de frie samfunds eksistens. Det sker, idet vi stiller os spørgsmålet om, hvilken rolle Europa må indtage i denne sammenhæng, og hvilken rolle Danmark som europæisk og nordisk nation har at udfylde.";"1974";"1"
"28";3;7;"3 1/10 74: Folketingets åbning. 4";"Samarbejdet i Det europæiske Fællesskab er, som alle ved, præget af alvorlige problemer. Når mange nationale interesser brydes, kan det ikke undre, at de fælles løsninger på en række komplicerede områder ikke er lette at opnå. Alligevel er landene fast besluttet på at stå sammen.";"1974";"1"
"29";3;8;"3 1/10 74: Folketingets åbning. 4";"Medlemskabet af EF danner grundlaget for meget væsentlige dele af vor udenrigspolitik og vor økonomiske politik. Danmark vil aldrig kunne isolere sig fra de problemer, som trænger sig på for Europa som helhed. Næsten alle vigtige spørgsmål må vi se i europæisk perspektiv, og det står fast, at dansk medlemskab af EF har givet Danmark store politiske og økonomiske fordele.";"1974";"1"
"30";3;9;"3 1/10 74: Folketingets åbning. 4";"Danmark hører naturligt og nødvendigt hjemme i dette fællesskab.";"1974";"1"
"31";3;10;"3 1/10 74: Folketingets åbning. 4";"Regeringen vil fortsat lægge stor vægt på, at det nære samarbejde imellem de nordiske lande fastholdes og udvides.";"1974";"1"
"32";3;11;"3 1/10 74: Folketingets åbning. 4";"Vor tiltro til nødvendigheden af det internationale samarbejde i organisationer som FN og NATO er usvækket. Det samme gælder Danmarks deltagelse i de vigtige drøftelser i Geneve og Wien og andetsteds om fremme af afspænding, nedrustning og samarbejde mellem Øst og Vest.";"1974";"1"
"33";3;12;"3 1/10 74: Folketingets åbning. 4";"Samarbejde og forsvarsfællesskab med andre lande er en af forudsætningerne for Danmarks sikkerhed og selvstændighed. En lige så vigtig forudsætning er naturligvis, at vi er villige til selv af yde vor del. Det gælder også i forsvarssamarbejdet, at vil man være selvstændig, kan man ikke lade andre bære byrderne for sig.";"1974";"1"
"34";3;13;"3 1/10 74: Folketingets åbning. 4";"De økonomiske problemer har i de senere år antaget en stadig alvorligere karakter.";"1974";"1"
"35";3;14;"3 1/10 74: Folketingets åbning. 4";"Det er ikke noget, Danmark er alene om.";"1974";"1"
"36";3;15;"3 1/10 74: Folketingets åbning. 4";"Alle de industrialiserede lande i Vesteuropa mærker disse problemer. Deres økonomi rystes ved de voldsomme stigninger i oliepriserne og i priserne på andre råvarer. Derved er bytteforholdet blevet mærkbart forringet, og det belaster naturligvis landenes betalingsbalance over for den øvrige del af verden. Prisstigningerne på brændsel og råvarer har forstærket inflationen i de vesteuropæiske lande, samtidig med at udviklingen har fremkaldt vigende produktion og beskæftigelse.";"1974";"1"
"37";3;16;"3 1/10 74: Folketingets åbning. 4";"De vesteuropæiske lande er ikke fattige samfund. Men landene må se i øjnene, at deres handelsvilkår er blevet forringet. De må indrette sig på, at levestandarden ikke kan stige med samme tempo som før. Det, det gælder om, er at gennemføre omstillingen på en måde, så det ikke går ud over de fundamentale krav til social tryghed og tryghed i beskæftigelsen.";"1974";"1"
"38";5;1;"5 11,0 74: Folketingets åbning. 6";"5 11,0 74: Folketingets åbning. 6";"1974";"1"
"39";5;2;"5 11,0 74: Folketingets åbning. 6";"[Statsministeren.]";"1974";"1"
"40";5;3;"5 11,0 74: Folketingets åbning. 6";"For Danmarks vedkommende har den internationale udvikling imidlertid betydet en specielt vanskelig situation. Danmarks betalingsbalance var i forvej en svag og havde været det i en årrække. Vi stod i forvejen med en meget betydelig udenlandsk gæld, som er oparbejdet gennem år, og som for hvert år bliver mere tyngende.";"1974";"1"
"41";5;4;"5 11,0 74: Folketingets åbning. 6";"Det må i denne forbindelse understreges, at det danske medlemskab af EF i betydelig grad bidrager til at gøre det muligt for os at løse problemerne. De fordele, EF-med-lemskabet giver os under de nuværende vanskelige forhold, er dels en vis stabilisering af landbrugets afsætningsvilkår med adgang til et stort marked, dels de muligheder, som den frie adgang til det europæiske marked åbner for industrien. Hertil kommer virkningerne af det snævre valutariske samarbejde, som vi fra dansk side må tillægge den største værdi. Dette valutasamarbejde har medført, at udefra kommende inflations-påvirkninger er blevet mindre, end de ellers ville have været. Samtidig har det bidraget til en stabilisering af de internationale valutaforhold i en meget usikker periode i verdensøkonomien. Den lettelse af den danske valutasituation, som dette samarbejde har medført, er af væsentlig betydning for os.";"1974";"1"
"42";5;5;"5 11,0 74: Folketingets åbning. 6";"De fordele, som EF-medlemskabet giver, fjerner dog ikke den kendsgerning, at de problemer, man står over for under den igangværende tilpasningsperiode, er meget store.";"1974";"1"
"43";5;6;"5 11,0 74: Folketingets åbning. 6";"Opgaven for os er nu den vanskelige på én gang at sikre en forsvarlig udvikling af betalingsbalancen og samtidig opretholde produktion og beskæftigelse.";"1974";"1"
"44";5;7;"5 11,0 74: Folketingets åbning. 6";"Opgaven er ikke umulig. Forudsætningen er først, at man erkender den. Dernæst, at alle de parter, der har indflydelse på udviklingen, forstår deres ansvar. Jeg tænker både på regering og folketing og på erhvervene og arbejdsmarkedets parter.";"1974";"1"
"45";5;8;"5 11,0 74: Folketingets åbning. 6";"Problemernes art kan vi næppe være me-";"1974";"1"
